Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Addon Products (product.metafields.custom.addon_products),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
black-body,Black Body,<p>Stylish black body from our collection. High-quality clothing perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Clothing,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.black.body\DSC07206.jpg",1,Black Body,false,,,,,,,,,,,kg,,,active
black-body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.body\DSC07229.jpg",2,Black Body - View 2,,,,,,,,,,,,,,,
black-body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.body\DSC07251.jpg",3,Black Body - View 3,,,,,,,,,,,,,,,
black-rezinka,Black Rezinka,<p>Stylish black rezinka from our collection. High-quality clothing perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Clothing,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.black.rezinka\DSC07744.jpg",1,Black Rezinka,false,,,,,,,,,,,kg,,,active
black-rezinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.rezinka\DSC07754.jpg",2,Black Rezinka - View 2,,,,,,,,,,,,,,,
black-rezinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.rezinka\DSC07761.jpg",3,Black Rezinka - View 3,,,,,,,,,,,,,,,
black-rezinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.rezinka\DSC07767.jpg",4,Black Rezinka - View 4,,,,,,,,,,,,,,,
black-rezinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.rezinka\DSC07772.jpg",5,Black Rezinka - View 5,,,,,,,,,,,,,,,
black-skirt-chanel,Black Skirt Chanel,<p>Stylish black skirt chanel from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.black.skirt.chanel\DSC07994.jpg",1,Black Skirt Chanel,false,,,,,,,,,,,kg,,,active
black-skirt-chanel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.skirt.chanel\DSC08002.jpg",2,Black Skirt Chanel - View 2,,,,,,,,,,,,,,,
black-skirt-chanel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.skirt.chanel\DSC08006.jpg",3,Black Skirt Chanel - View 3,,,,,,,,,,,,,,,
black-skirt-silk,Black Skirt Silk,<p>Stylish black skirt silk from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.black.skirt.silk\DSC08025.jpg",1,Black Skirt Silk,false,,,,,,,,,,,kg,,,active
black-skirt-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.skirt.silk\DSC08033.jpg",2,Black Skirt Silk - View 2,,,,,,,,,,,,,,,
black-skirt-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.skirt.silk\DSC08037.jpg",3,Black Skirt Silk - View 3,,,,,,,,,,,,,,,
blue-dress-short,Blue Dress Short,<p>Stylish blue dress short from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.blue.dress.short\DSC07674.jpg",1,Blue Dress Short,false,,,,,,,,,,,kg,,,active
blue-dress-short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.blue.dress.short\DSC07685.jpg",2,Blue Dress Short - View 2,,,,,,,,,,,,,,,
blue-dress-short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.blue.dress.short\DSC07688.jpg",3,Blue Dress Short - View 3,,,,,,,,,,,,,,,
blue-dress-short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.blue.dress.short\DSC07704.jpg",4,Blue Dress Short - View 4,,,,,,,,,,,,,,,
blue-set-arfa,Blue Set Arfa,<p>Stylish blue set arfa from our collection. High-quality sets perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Outfit Sets,Sets,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.blue.set.arfa\DSC08194.jpg",1,Blue Set Arfa,false,,,,,,,,,,,kg,,,active
blue-set-arfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.blue.set.arfa\DSC08214.jpg",2,Blue Set Arfa - View 2,,,,,,,,,,,,,,,
blue-set-arfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.blue.set.arfa\DSC08219.jpg",3,Blue Set Arfa - View 3,,,,,,,,,,,,,,,
bronz-short-dress,Bronz Short Dress,<p>Stylish bronz short dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.bronz.short.dress\DSC08344.jpg",1,Bronz Short Dress,false,,,,,,,,,,,kg,,,active
bronz-short-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.bronz.short.dress\DSC08353.jpg",2,Bronz Short Dress - View 2,,,,,,,,,,,,,,,
bronz-short-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.bronz.short.dress\DSC08360.jpg",3,Bronz Short Dress - View 3,,,,,,,,,,,,,,,
brown-dress,Brown Dress,<p>Stylish brown dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.dress\DSC07499.jpg",1,Brown Dress,false,,,,,,,,,,,kg,,,active
brown-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.dress\DSC07511.jpg",2,Brown Dress - View 2,,,,,,,,,,,,,,,
brown-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.dress\DSC07515.jpg",3,Brown Dress - View 3,,,,,,,,,,,,,,,
brown-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.dress\DSC07521.jpg",4,Brown Dress - View 4,,,,,,,,,,,,,,,
