Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Addon Products (product.metafields.custom.addon_products),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pink-dress-noisy,Pink Dress Noisy,<p>Stylish pink dress noisy from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.dress.noisy\DSC08853.jpg",1,Pink Dress Noisy,false,,,,,,,,,,,kg,,,active
pink-dress-noisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.dress.noisy\DSC08855.jpg",2,Pink Dress Noisy - View 2,,,,,,,,,,,,,,,
pink-dress-noisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.dress.noisy\DSC08857.jpg",3,Pink Dress Noisy - View 3,,,,,,,,,,,,,,,
pink-dress-noisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.dress.noisy\DSC08867.jpg",4,Pink Dress Noisy - View 4,,,,,,,,,,,,,,,
pink-dress-short,Pink Dress Short,<p>Stylish pink dress short from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.dress.short\DSC07533.jpg",1,Pink Dress Short,false,,,,,,,,,,,kg,,,active
pink-dress-short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.dress.short\DSC07555.jpg",2,Pink Dress Short - View 2,,,,,,,,,,,,,,,
pink-dress-short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.dress.short\DSC07560.jpg",3,Pink Dress Short - View 3,,,,,,,,,,,,,,,
pink-set-arfa,Pink Set Arfa,<p>Stylish pink set arfa from our collection. High-quality sets perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Outfit Sets,Sets,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.set.arfa\DSC08163.jpg",1,Pink Set Arfa,false,,,,,,,,,,,kg,,,active
pink-set-arfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.set.arfa\DSC08171.jpg",2,Pink Set Arfa - View 2,,,,,,,,,,,,,,,
pink-set-arfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.set.arfa\DSC08176.jpg",3,Pink Set Arfa - View 3,,,,,,,,,,,,,,,
red-long-dress,Red Long Dress,<p>Stylish red long dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.red.long.dress\DSC08381.jpg",1,Red Long Dress,false,,,,,,,,,,,kg,,,active
red-long-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.red.long.dress\DSC08392.jpg",2,Red Long Dress - View 2,,,,,,,,,,,,,,,
red-long-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.red.long.dress\DSC08397.jpg",3,Red Long Dress - View 3,,,,,,,,,,,,,,,
red-long-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.red.long.dress\DSC08408.jpg",4,Red Long Dress - View 4,,,,,,,,,,,,,,,
red-skirt-japan-gris,Red Skirt Japan Gris,<p>Stylish red skirt japan gris from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.red.skirt.japan.gris\DSC07312.jpg",1,Red Skirt Japan Gris,false,,,,,,,,,,,kg,,,active
red-skirt-japan-gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.red.skirt.japan.gris\DSC07323.jpg",2,Red Skirt Japan Gris - View 2,,,,,,,,,,,,,,,
red-skirt-japan-gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.red.skirt.japan.gris\DSC07324.jpg",3,Red Skirt Japan Gris - View 3,,,,,,,,,,,,,,,
red-skirt-silk,Red Skirt Silk,<p>Stylish red skirt silk from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.red.skirt.silk\DSC08044.jpg",1,Red Skirt Silk,false,,,,,,,,,,,kg,,,active
red-skirt-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.red.skirt.silk\DSC08047.jpg",2,Red Skirt Silk - View 2,,,,,,,,,,,,,,,
red-skirt-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.red.skirt.silk\DSC08064.jpg",3,Red Skirt Silk - View 3,,,,,,,,,,,,,,,
red-skirt-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.red.skirt.silk\DSC08066.jpg",4,Red Skirt Silk - View 4,,,,,,,,,,,,,,,
short-dress-flower,Short Dress Flower,<p>Stylish short dress flower from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.short.dress.flower\DSC08690.jpg",1,Short Dress Flower,false,,,,,,,,,,,kg,,,active
short-dress-flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.short.dress.flower\DSC08697.jpg",2,Short Dress Flower - View 2,,,,,,,,,,,,,,,
short-dress-flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.short.dress.flower\DSC08698.jpg",3,Short Dress Flower - View 3,,,,,,,,,,,,,,,
short-set-indy-hippy,Short Set Indy Hippy,<p>Stylish short set indy hippy from our collection. High-quality sets perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Outfit Sets,Sets,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.short.set.indy.hippy\DSC08733.jpg",1,Short Set Indy Hippy,false,,,,,,,,,,,kg,,,active
short-set-indy-hippy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.short.set.indy.hippy\DSC08751.jpg",2,Short Set Indy Hippy - View 2,,,,,,,,,,,,,,,
short-set-indy-hippy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.short.set.indy.hippy\DSC08757.jpg",3,Short Set Indy Hippy - View 3,,,,,,,,,,,,,,,
sport-beige-straight,Sport Beige Straight,<p>Stylish sport beige straight from our collection. High-quality sportswear perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Activewear,Sportswear,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.beige.straight\DSC07782.jpg",1,Sport Beige Straight,false,,,,,,,,,,,kg,,,active
sport-beige-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.beige.straight\DSC07808.jpg",2,Sport Beige Straight - View 2,,,,,,,,,,,,,,,
sport-beige-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.beige.straight\DSC07817.jpg",3,Sport Beige Straight - View 3,,,,,,,,,,,,,,,
sport-beige-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.beige.straight\DSC07826.jpg",4,Sport Beige Straight - View 4,,,,,,,,,,,,,,,
sport-black-straight,Sport Black Straight,<p>Stylish sport black straight from our collection. High-quality sportswear perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Activewear,Sportswear,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.black.straight\DSC07829.jpg",1,Sport Black Straight,false,,,,,,,,,,,kg,,,active
sport-black-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.black.straight\DSC07851.jpg",2,Sport Black Straight - View 2,,,,,,,,,,,,,,,
sport-black-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.black.straight\DSC07855.jpg",3,Sport Black Straight - View 3,,,,,,,,,,,,,,,
sport-black-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.black.straight\DSC07862.jpg",4,Sport Black Straight - View 4,,,,,,,,,,,,,,,
sport-dark-beige-klesh,Sport Dark Beige Klesh,<p>Stylish sport dark beige klesh from our collection. High-quality sportswear perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Activewear,Sportswear,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.dark.beige.klesh\DSC07880.jpg",1,Sport Dark Beige Klesh,false,,,,,,,,,,,kg,,,active
sport-dark-beige-klesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.dark.beige.klesh\DSC07883.jpg",2,Sport Dark Beige Klesh - View 2,,,,,,,,,,,,,,,
sport-dark-beige-klesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.dark.beige.klesh\DSC07893.jpg",3,Sport Dark Beige Klesh - View 3,,,,,,,,,,,,,,,
sport-dark-beige-straight,Sport Dark Beige Straight,<p>Stylish sport dark beige straight from our collection. High-quality sportswear perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Activewear,Sportswear,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.dark.beige.straight\DSC07908.jpg",1,Sport Dark Beige Straight,false,,,,,,,,,,,kg,,,active
sport-dark-beige-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.dark.beige.straight\DSC07924.jpg",2,Sport Dark Beige Straight - View 2,,,,,,,,,,,,,,,
sport-dark-beige-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.dark.beige.straight\DSC07928.jpg",3,Sport Dark Beige Straight - View 3,,,,,,,,,,,,,,,
sport-dark-beige-straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.dark.beige.straight\DSC07932.jpg",4,Sport Dark Beige Straight - View 4,,,,,,,,,,,,,,,
sport-green-klesh,Sport Green Klesh,<p>Stylish sport green klesh from our collection. High-quality sportswear perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Activewear,Sportswear,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.green.klesh\DSC07955.jpg",1,Sport Green Klesh,false,,,,,,,,,,,kg,,,active
sport-green-klesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.green.klesh\DSC07965.jpg",2,Sport Green Klesh - View 2,,,,,,,,,,,,,,,
sport-green-klesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.sport.green.klesh\DSC07972.jpg",3,Sport Green Klesh - View 3,,,,,,,,,,,,,,,
violetta-dress,Violetta Dress,<p>Stylish violetta dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.violetta.dress\DSC08588.jpg",1,Violetta Dress,false,,,,,,,,,,,kg,,,active
violetta-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.violetta.dress\DSC08595.jpg",2,Violetta Dress - View 2,,,,,,,,,,,,,,,
violetta-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.violetta.dress\DSC08612.jpg",3,Violetta Dress - View 3,,,,,,,,,,,,,,,
violetta-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.violetta.dress\DSC08620.jpg",4,Violetta Dress - View 4,,,,,,,,,,,,,,,
white-black-school,White Black School,<p>Stylish white black school from our collection. High-quality clothing perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Clothing,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.white.black.school\DSC08815.jpg",1,White Black School,false,,,,,,,,,,,kg,,,active
white-black-school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.black.school\DSC08825.jpg",2,White Black School - View 2,,,,,,,,,,,,,,,
white-black-school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.black.school\DSC08832.jpg",3,White Black School - View 3,,,,,,,,,,,,,,,
white-black-school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.black.school\DSC08836.jpg",4,White Black School - View 4,,,,,,,,,,,,,,,
white-dress-patata,White Dress Patata,<p>Stylish white dress patata from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.white.dress.patata\DSC08521.jpg",1,White Dress Patata,false,,,,,,,,,,,kg,,,active
white-dress-patata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.dress.patata\DSC08529.jpg",2,White Dress Patata - View 2,,,,,,,,,,,,,,,
white-dress-patata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.dress.patata\DSC08532.jpg",3,White Dress Patata - View 3,,,,,,,,,,,,,,,
white-long-dress,White Long Dress,<p>Stylish white long dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.dress\DSC08238.jpg",1,White Long Dress,false,,,,,,,,,,,kg,,,active
white-long-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.dress\DSC08248.jpg",2,White Long Dress - View 2,,,,,,,,,,,,,,,
white-long-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.dress\DSC08254.jpg",3,White Long Dress - View 3,,,,,,,,,,,,,,,
white-long-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.dress\DSC08255.jpg",4,White Long Dress - View 4,,,,,,,,,,,,,,,
white-long-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.dress\DSC08268.jpg",5,White Long Dress - View 5,,,,,,,,,,,,,,,
white-long-unamanga,White Long Unamanga,<p>Stylish white long unamanga from our collection. High-quality clothing perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Clothing,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.unamanga\DSC08429.jpg",1,White Long Unamanga,false,,,,,,,,,,,kg,,,active
white-long-unamanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.unamanga\DSC08432.jpg",2,White Long Unamanga - View 2,,,,,,,,,,,,,,,
white-long-unamanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.unamanga\DSC08442.jpg",3,White Long Unamanga - View 3,,,,,,,,,,,,,,,
white-long-unamanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.long.unamanga\DSC08444.jpg",4,White Long Unamanga - View 4,,,,,,,,,,,,,,,
white-romashka-dress,White Romashka Dress,<p>Stylish white romashka dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.white.romashka.dress\DSC08315.jpg",1,White Romashka Dress,false,,,,,,,,,,,kg,,,active
white-romashka-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.romashka.dress\DSC08317.jpg",2,White Romashka Dress - View 2,,,,,,,,,,,,,,,
white-romashka-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.romashka.dress\DSC08325.jpg",3,White Romashka Dress - View 3,,,,,,,,,,,,,,,
white-set-arfa,White Set Arfa,<p>Stylish white set arfa from our collection. High-quality sets perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Outfit Sets,Sets,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.white.set.arfa\DSC08128.jpg",1,White Set Arfa,false,,,,,,,,,,,kg,,,active
white-set-arfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.set.arfa\DSC08133.jpg",2,White Set Arfa - View 2,,,,,,,,,,,,,,,
white-set-arfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.set.arfa\DSC08138.jpg",3,White Set Arfa - View 3,,,,,,,,,,,,,,,
white-set-arfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.set.arfa\DSC08142.jpg",4,White Set Arfa - View 4,,,,,,,,,,,,,,,
white-set-arfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.set.arfa\DSC08145.jpg",5,White Set Arfa - View 5,,,,,,,,,,,,,,,
white-set-blusa-skirt,White Set Blusa Skirt,<p>Stylish white set blusa skirt from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.white.set.blusa.skirt\DSC08555.jpg",1,White Set Blusa Skirt,false,,,,,,,,,,,kg,,,active
white-set-blusa-skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.set.blusa.skirt\DSC08568.jpg",2,White Set Blusa Skirt - View 2,,,,,,,,,,,,,,,
white-set-blusa-skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.set.blusa.skirt\DSC08572.jpg",3,White Set Blusa Skirt - View 3,,,,,,,,,,,,,,,
white-winter-set,White Winter Set,<p>Stylish white winter set from our collection. High-quality sets perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Outfit Sets,Sets,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.white.winter.set\DSC07355.jpg",1,White Winter Set,false,,,,,,,,,,,kg,,,active
white-winter-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.winter.set\DSC07359.jpg",2,White Winter Set - View 2,,,,,,,,,,,,,,,
white-winter-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.winter.set\DSC07362.jpg",3,White Winter Set - View 3,,,,,,,,,,,,,,,
white-winter-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.white.winter.set\DSC07390.jpg",4,White Winter Set - View 4,,,,,,,,,,,,,,,
